baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_ID	symbols	descriptions	
CHIT1	1043.350785	3.532610519	0.135559903	8.34E-151	1.76E-146	ENSMMUG00000008709	CHIT1	chitinase 1
CEACAM5	1586.886312	3.93849092	0.259253935	2.49E-53	2.63E-49	ENSMMUG00000018103	CEACAM5	CEA cell adhesion molecule 5
MMP15	531.3687961	3.49448255	0.23961166	4.63E-49	3.26E-45	ENSMMUG00000007052	MMP15	matrix metallopeptidase 15
SFRP2	631.4375371	7.529399576	0.613834335	1.23E-40	3.71E-37	ENSMMUG00000015851	SFRP2	secreted frizzled related protein 2
GNG4	422.4581058	4.215597035	0.33722932	5.56E-38	1.46E-34	ENSMMUG00000053807	GNG4	G protein subunit gamma 4
PRSS55	763.7182108	2.549981045	0.211521185	2.95E-34	5.65E-31	ENSMMUG00000012043	PRSS55	serine protease 55
DEFA1B	1001.474206	7.26479299	0.696912984	1.07E-33	1.73E-30	ENSMMUG00000018517	DEFA1B	defensin alpha 1B
KCNQ5	47.50508587	4.923573307	0.414446093	1.15E-32	1.74E-29	ENSMMUG00000015320	KCNQ5	potassium voltage-gated channel subfamily Q member 5
PRXL2A	2757.613362	-2.345502897	0.207790591	1.70E-31	2.38E-28	ENSMMUG00000021773	PRXL2A	peroxiredoxin like 2A
SPEG	358.3688508	4.095657781	0.367105388	5.37E-31	6.66E-28	ENSMMUG00000017936	SPEG	striated muscle enriched protein kinase
CSAD	287.8820262	2.591899488	0.258058713	1.53E-24	5.55E-22	ENSMMUG00000015153	CSAD	cysteine sulfinic acid decarboxylase
SYNDIG1	287.9221512	3.16442618	0.323363065	4.19E-24	1.40E-21	ENSMMUG00000015852	SYNDIG1	synapse differentiation inducing 1
RNASE1	1827.72006	-5.248182118	0.530997772	4.51E-24	1.49E-21	ENSMMUG00000017666	RNASE1	"ribonuclease A family member 1, pancreatic"
FLT4	70.54736655	4.60851302	0.478005832	4.85E-24	1.57E-21	ENSMMUG00000018693	FLT4	fms related receptor tyrosine kinase 4
SIX4	33.7845356	5.48074847	0.555294425	2.62E-23	8.00E-21	ENSMMUG00000001640	SIX4	SIX homeobox 4
ARHGEF5	169.3129309	3.801789086	0.390136163	2.60E-23	8.00E-21	ENSMMUG00000010134	ARHGEF5	Rho guanine nucleotide exchange factor 5
GLRB	72.04090493	4.799345564	0.48996292	2.79E-23	8.41E-21	ENSMMUG00000022901	GLRB	glycine receptor beta
SHISA2	218.0544853	7.802862694	0.93454831	3.28E-23	9.73E-21	ENSMMUG00000062341	SHISA2	shisa family member 2
